id,comment
4,"正品验证：日期很近期
营养配方：还是原来的配方
消化吸收：宝宝喝没有便秘
清火功效：没出现上火现象
溶解性：几款奶粉中这款最后好泡的
其他特色：宝宝爱喝才是买对了"
5,"正品验证：扫瓶底的二维码，积分在爱儿俱乐部是可以充值的，是正品。
营养配方：配方好，除基本营养成分外，还含有 OPO 、 DHA 、牛磺酸等额外添加；奶源好，来自新西兰。
溶解性：奶粉细腻，口感好，溶解快，宝宝爱喝      已经买了好多次了，因为特殊时期，但是快递丝毫没有减速，第二天就到了，奶粉非常不错，大宝一直喝金领冠系列，目前还在喝四段，值得信赖，二宝果断还选伊利，换了珍护系列，宝宝喝着非常好，大便软软的很正常，喝珍护不上火，大家快来选购吧！"
6,这个伊利是国产奶粉里面最信任的一个品牌，是个中国宝宝喝的奶粉，口感非常不错，也不怎么甜，溶解也很快，不挂壁也不会成块，宝宝喝了一段时间了，吸收很好，也没有什么不良反应，大便正常，很爱喝！非常不错！一直很信赖京东，物流给力，售后服务也从来没让失望过，会一直支持下去，也希望你们越做越好，总之很满意。后期喝完再来回购。
7,断奶期完美度过，非常好，宝宝喜欢喝。大品牌信得过，闻起来也不腥。宝宝断奶后，还涨了一斤肉，哈哈。之前我家宝宝特别抵触奶粉，没想到现在会这么喜欢喝奶粉，断奶后心里总是有点不放心，喝奶粉也能保证一下营养全面。
8,珍护奶粉宝宝一直都在吃，很好吸收，味道清单，宝宝爱吃，也不上火，溶解性特别好，遇水就化
9,"正品验证：产品底部有积分码和追溯码，已经验证是正品。认准伊利母婴京东自营旗舰店，官方店铺不会有假的。
营养配方：营养全面。适合0到6岁各个阶段的宝宝。
消化吸收：消化好吸收快，实现母乳到奶粉的无缝衔接。
清火功效：富含opo，不上火，不便秘。
溶解性：溶解很快。只需要轻轻摇晃。"
10,"正品验证：京东自营我从不怀疑质量，绝对正品
营养配方：这款奶粉我关注很久了，好多宝马用后都说不错
消化吸收：宝宝很容易消化吸收
清火功效：还不错，没发现上火
溶解性：溶解性还不错，轻轻的转动几下子，感觉都完全溶解了
其他特色：没想到国产奶粉也做的这么棒，支持国产，中国加油！"
1,"正品验证：喝了快一年的珍护，全都是京东买的，打电话伊利客服说京东的伊利奶粉可以放心买
营养配方：配方好，适合中国宝宝喝，我家妞喝国外的奶粉就拉肚子的
消化吸收：好吸收的，小朋友免疫力各方面都还好的
清火功效：不上火，没有发生过便秘现象
溶解性：溶解性真的很好，温水溶解一点都不挂壁的"
2,宝宝非常喜欢喝金领冠奶粉，味道好好溶解，宝宝喝了还不上火，大便很正常，宝宝非常喜欢喝，每次在京东自营买金领冠，给宝宝喝，和实体店的一样，实体店的非常贵，对比过一样的，一直信赖京东自营，继续回购金领冠?
3,伊利金领冠珍护奶粉大品牌值得拥有，包装好日期新。宝宝从出生到现在一直吃这个，营养配方全面，消化吸收好，长了不少肉肉了。吃这个不上火不便秘，每天排便都很有规律 金黄色的。客服态度很好，618大促之间价格很实惠，囤了不少货，而且送的礼品也很多。谢谢卖家必须赞赞赞！
4,"正品验证：伊利民族品牌，正品二维码扫描识别验试。
营养配方：营养均衡、丰富，4段适合3-6岁的宝宝食用的。
消化吸收：小孩喝了很容易消化吸收。
清火功效：小孩子长时间食用，一点都不上火。
溶解性：温水冲服，很容易溶于水。
其他特色：京东自营的商品，比超市实体店里边的卖的便宜。"
5,"正品验证：绝对正品
营养配方：配方全面，营养均衡
消化吸收：宝宝吸收好，每天早中晚三瓶奶，宝宝喝的很开心
清火功效：没有出现上火，一直都很好，已经买了十多桶了，每次宝宝到时间就要拿着奶瓶主动要奶喝
溶解性：遇水即化，没有疙瘩，轻轻摇一摇就溶解了
其他特色：包装很好，双层的隔膜包装，而且这个勺子设计的也很好用，每次直接卡在瓶盖就不容易混到奶粉里面，很用心的设计"
6,很不错的奶粉，宝宝很喜欢喝，是正品，已经是第二次给宝宝买了，宝宝天天晚上都吵着要喝奶，针对稍大的宝宝，这个真的很棒，现在宝宝吃饭，奶粉基本就是用来给他加餐的，很不错的，我觉得下次还要来买的，很值得推荐！！
7,"正品验证：通过官方认证是正品，积分兑换正常
营养配方：营养配方合理，各种营养添加合理
消化吸收：宝宝从小喝到大，消化吸收很好
清火功效：宝宝喝了不上火，肠胃吸收好
其他特色：通过与其他奶粉对比发现，金领冠奶粉有很大的优势，宝宝喝了不上火，营养配方合理，宝宝肠胃对奶粉吸收好"
8,"正品验证：大品牌值得信赖，从孩子三个月一直吃到现在
营养配方：孩子现在1岁四个月，吃珍护睡得香，营养足，孩子长的快
消化吸收：孩子消化吸收珍护系列每次拉臭臭和小便都很规律，而且臭臭既不干也不稀
溶解性：溶解速度非常快，不会成坨，基本上温度在46度左右能够实现快速溶解，孩子喝着也不会觉得烫"
9,"正品验证：没有进行真伪查询，相信京东平台的质量管理，应该不会出现质量问题，希望值得信赖！
营养配方：营养成分很丰富，配方也比较均衡，适合1-3岁的宝宝喝的一款奶粉。
消化吸收：这款伊利金领冠珍护系列奶粉应该比较容易消化吸收，具体效果怎么样不太清楚！
清火功效：清货功效没有发现。
溶解性：溶解性很好，很容易遇水溶解！"
10,其他特色：第三次购买吃这个牌子，吸收好，也不会便秘，主要是有opo和益生元，宝宝很喜欢喝，以前喝美素力经常上火，五六天拉一次，吃了这款几乎每天都拉一次，不会上火，而且宝宝身体越长越好了，奶粉还是国产的好，以后就一直吃这个牌子了
1,"正品验证：桶底二维码扫描验视，百分百伊利奶粉正品。
营养配方：配方独特，适合中国宝宝的体质，营养丰富。
消化吸收：宝宝喝了特别容易消化吸收。
清火功效：小孩一直在喝这个奶粉，一点都不上火。
溶解性：温水冲泡，很容易融化。
其他特色：京东自营的商品，比超市实体店优惠力度大，而且送货特别及时。"
2,宝宝一直在吃，很好的，吸收好，而且属于京东自营，吃着也放心，物流也很给力，当天下单，当天就送回来了，看着奶粉黄黄的，也很细腻，奶粉勺子设计也是很独特，属于折叠式的，用起来很方便。值得买，品质可以放心，有保障。
3,包装完好，发货快，送货上门，服务态度非常好，配方营养，添加多种有益元素，好消化吸收，溶解性好，孩子喜欢喝
4,"包装好，配方好，奶源好，口感好，基本没有挂壁，很好溶解，微甜，宝宝爱喝，宝宝吸收很好，便便也很好，没有奶瓣，奶味挺足的，自己尝了尝，很不错，有OPO,DHA,牛磺酸等额外添加，配的有勺子，很方便，很好不错"
5,宝贝从出生一直喝的这款伊利金领冠珍护奶粉，营养全面，容易消化吸收，每次物流也非常快，奶粉底部有追溯码和积分码，可以在伊利公用号溯源和积分，不仅保证奶粉的正品验证，还可以通过积分领取奶粉，给宝贝买着放心，安心。宝宝身体棒棒是当妈妈最开心的事了。
6,"正品验证：有追溯码，积分码。是正品
营养配方：近母乳配方，好吸收。 
清火功效：含有母乳营养成分opo.不上火不便秘。从出生就喝的这款。从来没有上火便秘过
溶解性：溶解性也非常好
其他特色：直播间购买。还会有好多的赠品。还可以参加抽奖。每天14点晚七点基本都有直播，需要购买的可以到直播间购买。福利多多。玩具都不用再花钱买了"
7,这是第三次买金顶冠奶粉，包装特别好，密封很完整哦。伊利珍护奶粉的配方号，奶源也挺好的，来自于新西兰。宝宝很喜欢喝，奶粉很容易溶解，然后营养好吸收， 宝宝吃的白白胖胖很可爱，感觉挺好的，一直在喝这款奶粉，嗯，值得推荐给各位宝妈哟。
8,听朋友说这是国产奶粉品牌里最信任的一个品牌了，适合中国宝宝喝的奶粉，口感比较很好，溶解也很好，不挂壁也不会成块，宝宝喝了一段时间了，抵抗力也好，吸收也好，就一直给她吃这款奶粉。网上购买的900g的，相信京东，应该是正品，还是比较划算的，非常的满意！
9,"我是给我外甥买的，外甥喜欢喝,冲泡容易,奶瓶也很好清洗,赠的小小的两罐，携带很方便，外甥就喜欢喝这个牌子的奶粉，冲泡很细腻，比超市便宜很多，新注册会员还赠2罐小的，京东快递很快，第二天就到了，很满意的一次购物"
10,这是第三次买金顶冠奶粉了，宝宝从满月后一直喝的珍护，奶粉是淡黄色的，闻起来有奶香味，喝起来也香，宝宝自从喝了这款后一天一两次大便，也不上火，也没拉稀，放在奶瓶里，也非常迅速的溶解了，不起泡，易冲调，希望大家也和我交流珍护奶粉好不好
1,金领冠珍护，伊利大品牌值得信赖，送货也太快了，中午订货，晚上就到了。还含有牛磺酸，DHA和ARA，等营养成份。马上要给宝宝断奶，希望她能适应这个味道，还没吃过，也不知道爱不爱吃。他们都说这个牌的很好，希望宝宝爱吃。效期特别新。
2,"其他特色：
我家宝宝2个半月了，一直喝的金领冠奶粉，宝宝很喜欢喝，没有任何不良反应。
奶粉配方营养是最接近母乳，有助于宝宝吸收，不上火。
而且溶解时没有任何挂壁的情况，溶解速度快，我自己偿了下口感很好?
自己也一直喝伊利的酸奶，牛奶，伊利大品牌值得信赖。"
3,宝宝80天，喝珍护有一段时间了，我感觉喝了珍护后宝宝大便睡觉都挺好的，珍护的包装也比较好，设计更贴心，勺子带有折叠功能，用起来很方便，双十一时买珍护好优惠，现在涨价了，我还是买了，希望多多有活动，降价，给予消费者一定实惠，奶粉是一笔好大的开销啊，每次都是今天下单次日达，快递小哥很好
4,"营养配方：宝宝白胖粉白
消化吸收：粑粑不干燥
溶解性：轻轻摇晃  溶解很好
其他特色：19岁外女也说好喝"
5,"正品验证：伊利奶粉，桶装底部二维码识别真伪，百分百正品。
营养配方：配方独特，营养均衡，丰富，适合中国宝宝体质。
消化吸收：宝宝喝了之后容易消化吸收的。
清火功效：小孩喝了一点都不上火。
溶解性：温水冲泡，溶解性特别好。
其他特色：京东自营的商品，货真价实，物流很快，送货上门。"
6,一直买买金领冠奶粉，包装特别好，密封很完整哦。伊利珍护奶粉的配方奶源好的，来自于新西兰。宝宝很喜欢喝，奶粉很容易溶解，然后营养好吸收， 宝宝吃的白白胖胖很可爱，感觉挺好的，一直在喝这款奶粉，嗯，值得推荐给各位宝妈哟。
7,已经扫过码了，伊利金领冠为正品奶粉，宝宝从出生到现在一直都吃的是金领冠，现在吃的是第四段，创新配方，科学营养，配方搭配很合理，宝宝吃了不上火，吸收好，特别添加了复合益生菌，四段含膳食纤维，富含钙，铁，锌。
8,"消化吸收：宝宝吃了这个奶粉后，大便颜色变正常了。每天一次，很好消化吸收，之前吃别的牌子。自从吃了这个效果更好。
清火功效：也不上火。很多宝妈都给宝宝买清火之类的，我从来都没有买过。
溶解性：溶解性很好。吃完奶瓶里没有挂壁。
正品验证：宝宝的奶粉一直在京东买的，忠实的关注着，相信京东。千万不要辜负了我们宝妈的这份信任。"
9,买了很多次了，儿子从3段一直喝到4段，奶味很纯，不甜，每顿要喝250毫升，京东自营买的很信赖，日期都是很新鲜的，谢谢！
10,"清火功效：和清清宝一起使用不上火
消化吸收：消化吸收还不错，每天一次粑粑
其他特色：有积分可以兑换礼品
溶解性：很容易溶解，不会有疙瘩。
正品验证：已经验证是正品，可以查看检验合格证，以及检验人员信息，还有检验日期。
上次是搞活动抢了4罐，孩子一罐喝一星期。一次150ml水5勺奶粉"
1,从出生一直吃伊利金领冠，一直信赖伊利。宝宝很喜欢喝，吸收好。消化好，对消化有帮助。嗯，京东物流客服非常好。京东买方便放心。快捷方便，客服退换都非常的方便。相信京东信赖京东。有活动会一直从京东买奶粉。基本上所有的东西都是京东。
2,"正品验证：每次收到货以后，第一步就是扫二维码验证真伪。每次都没让失望。
营养配方：还是喜欢国产的奶粉，更适合宝宝，增重特别好
消化吸收：消化吸收好，没有出现拉肚子或者便秘的情况
清火功效：奶粉味道比较清淡，也木有出现上火的情况
其他特色：京东速度一直很赞，还有保价功能"
3,趁着有活动买了好多奶粉，价格优惠。孩子一直喝这个奶粉，还不错，快递第二天就到了很快，服务也很周到，奶粉一直在京东自营买，觉得会很放心，我家老大也喝金领冠珍护，但是喝的是4段，她很挑食，只能喝奶粉补补了，老二喝的是2段的，现在十个月了，以后是不是要囤3段的了，总之，很满意，会一直在京东买，满意。
